    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal_ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
8:44:30,22.93,45.41,43.61,29.51,29.43,30.3,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:32,22.93,45.41,43.61,29.51,29.43,30.4,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:33,22.93,45.4,43.61,29.51,29.43,30.3,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:34,22.94,45.4,43.61,29.51,29.42,30.3,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:35,22.94,45.4,43.61,29.51,29.42,30.4,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:36,22.94,45.4,43.61,29.51,29.42,30.5,5.7,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:37,22.94,45.4,43.61,29.51,29.42,30.6,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:38,22.94,45.4,43.61,29.51,29.42,30.5,5.8,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:40,22.94,45.4,43.61,29.51,29.42,30.5,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:41,22.94,45.4,43.61,29.51,29.43,30.4,5.6,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:42,22.94,45.4,43.61,29.51,29.42,30.5,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:43,22.94,45.4,43.61,29.51,29.42,30.4,5.5,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:44,22.94,45.4,43.61,29.51,29.42,30.4,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:45,22.94,45.4,43.61,29.51,29.42,30.5,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:46,22.94,45.4,43.61,29.51,29.42,30.5,5.4,side-by-side-before,7/17/18,H,Up,San Rafael
8:44:48,22.94,45.4,43.61,29.51,29.42,30.5,5.3,side-by-side-before,7/17/18,H,Up,San Rafael
