    Time, Temp_C_H,SpCond_mS/cm_H, Cond_mS/cm_H,  TDS_g/L_H,   Sal+ppt_H,Turbid_NTU_H,  Chl_ug/L_H,Experiment,    Date,Sonde,Position,Site
14:39:26,20.84,51.79,47.68,33.66,34.12,1.7,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:27,20.84,51.79,47.68,33.66,34.12,1.7,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:28,20.85,51.79,47.68,33.67,34.12,1.7,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:29,20.85,51.79,47.69,33.67,34.12,1.7,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:30,20.85,51.79,47.69,33.67,34.12,1.7,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:32,20.86,51.79,47.69,33.66,34.12,1.7,2.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:33,20.86,51.79,47.7,33.66,34.12,1.7,2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:34,20.86,51.8,47.7,33.67,34.13,1.7,2.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:35,20.86,51.8,47.7,33.67,34.13,1.7,2.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:36,20.86,51.79,47.7,33.67,34.12,1.7,2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:37,20.86,51.79,47.7,33.67,34.12,1.6,2.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:38,20.86,51.79,47.7,33.67,34.12,1.6,2.1,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:40,20.86,51.79,47.7,33.67,34.12,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:41,20.86,51.8,47.71,33.67,34.13,1.6,2.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:42,20.86,51.8,47.71,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:43,20.86,51.8,47.71,33.67,34.13,1.6,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:44,20.86,51.8,47.71,33.67,34.13,1.6,2.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:45,20.86,51.8,47.71,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:46,20.86,51.8,47.71,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:48,20.86,51.8,47.71,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:49,20.86,51.8,47.71,33.67,34.13,1.6,2.2,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:50,20.86,51.8,47.7,33.67,34.13,1.5,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:51,20.86,51.8,47.7,33.67,34.13,1.5,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:52,20.86,51.8,47.7,33.67,34.13,1.6,2.5,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:53,20.86,51.8,47.7,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:54,20.86,51.8,47.7,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:56,20.85,51.8,47.7,33.67,34.13,1.6,2.4,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:57,20.85,51.81,47.7,33.67,34.13,1.6,2.3,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:58,20.85,51.81,47.7,33.67,34.13,1.6,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:39:59,20.85,51.81,47.7,33.67,34.13,1.6,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
14:40:00,20.85,51.81,47.7,33.68,34.13,1.6,2.6,Side-by-side-Before,10/26/18,H,Down,Deanza
